timestep,throughput_tp,throughput_fair,throughput_minrate,proportional_fair_tp,proportional_fair_fair,proportional_fair_minrate,max_min_tp,max_min_fair,max_min_minrate,jain_tp,jain_fair,jain_minrate,hpf_tp,hpf_fair,hpf_minrate,adaptive_hpf_tp,adaptive_hpf_fair,adaptive_hpf_minrate,weighted_tf_tp,weighted_tf_fair,weighted_tf_minrate,hpf_switch_cost_tp,hpf_switch_cost_fair,hpf_switch_cost_minrate,adaptive_threshold_tp,adaptive_threshold_fair,adaptive_threshold_minrate,channel_predictor_tp,channel_predictor_fair,channel_predictor_minrate
79,406.02,0.9821,41.27,391.18,0.9819,39.61,406.02,0.9821,41.27,391.18,0.9819,39.61,391.18,0.9819,39.61,391.18,0.9819,39.61,391.18,0.9819,39.61,391.18,0.9819,39.61,391.18,0.9819,39.61,406.02,0.9821,41.27
80,402.93,0.9824,41.01,392.22,0.9822,39.86,402.93,0.9824,41.01,392.22,0.9822,39.86,392.22,0.9822,39.86,392.22,0.9822,39.86,392.22,0.9822,39.86,392.22,0.9822,39.86,392.22,0.9822,39.86,402.93,0.9824,41.01
81,402.63,0.9824,40.89,392.25,0.9823,39.87,402.63,0.9824,40.89,392.25,0.9823,39.87,392.25,0.9823,39.87,392.25,0.9823,39.87,392.25,0.9823,39.87,392.25,0.9823,39.87,392.25,0.9823,39.87,402.63,0.9824,40.89
82,402.5,0.9822,40.78,388.7,0.9829,39.54,402.5,0.9822,40.78,388.7,0.9829,39.54,388.7,0.9829,39.54,388.7,0.9829,39.54,388.7,0.9829,39.54,388.7,0.9829,39.54,388.7,0.9829,39.54,402.5,0.9822,40.78
83,402.95,0.9821,40.9,381.74,0.983,38.88,402.95,0.9821,40.9,381.74,0.983,38.88,381.74,0.983,38.88,381.74,0.983,38.88,381.74,0.983,38.88,381.74,0.983,38.88,381.74,0.983,38.88,402.95,0.9821,40.9
84,402.16,0.9821,40.74,382.29,0.9815,38.47,402.16,0.9821,40.74,382.29,0.9815,38.47,382.29,0.9815,38.47,382.29,0.9815,38.47,382.29,0.9815,38.47,382.29,0.9815,38.47,382.29,0.9815,38.47,402.16,0.9821,40.74
85,402.3,0.9824,40.92,386.95,0.9819,39.32,402.3,0.9824,40.92,386.95,0.9819,39.32,386.95,0.9819,39.32,386.95,0.9819,39.32,386.95,0.9819,39.32,386.95,0.9819,39.32,386.95,0.9819,39.32,402.3,0.9824,40.92
86,403.98,0.9822,41.1,384.27,0.9828,39.16,403.98,0.9822,41.1,384.27,0.9828,39.16,384.27,0.9828,39.16,384.27,0.9828,39.16,384.27,0.9828,39.16,384.27,0.9828,39.16,384.27,0.9828,39.16,403.98,0.9822,41.1
87,407.5,0.9818,41.23,383.06,0.982,38.97,407.5,0.9818,41.23,383.06,0.982,38.97,383.06,0.982,38.97,383.06,0.982,38.97,383.06,0.982,38.97,383.06,0.982,38.97,383.06,0.982,38.97,407.5,0.9818,41.23
88,408.59,0.9822,41.51,383.43,0.9821,38.85,408.59,0.9822,41.51,383.43,0.9821,38.85,383.43,0.9821,38.85,383.43,0.9821,38.85,383.43,0.9821,38.85,383.43,0.9821,38.85,383.43,0.9821,38.85,408.59,0.9822,41.51
89,406.01,0.9824,41.23,383.7,0.9821,38.9,406.01,0.9824,41.23,383.7,0.9821,38.9,383.7,0.9821,38.9,383.7,0.9821,38.9,383.7,0.9821,38.9,383.7,0.9821,38.9,383.7,0.9821,38.9,406.01,0.9824,41.23
90,405.11,0.9822,41.17,384.9,0.9821,38.93,405.11,0.9822,41.17,384.9,0.9821,38.93,384.9,0.9821,38.93,384.9,0.9821,38.93,384.9,0.9821,38.93,384.9,0.9821,38.93,384.9,0.9821,38.93,405.11,0.9822,41.17
91,405.52,0.9821,41.11,387.53,0.9821,39.42,405.52,0.9821,41.11,387.53,0.9821,39.42,387.53,0.9821,39.42,387.53,0.9821,39.42,387.53,0.9821,39.42,387.53,0.9821,39.42,387.53,0.9821,39.42,405.52,0.9821,41.11
92,404.83,0.9824,41.09,381.58,0.9826,38.95,404.83,0.9824,41.09,381.58,0.9826,38.95,381.58,0.9826,38.95,381.58,0.9826,38.95,381.58,0.9826,38.95,381.58,0.9826,38.95,381.58,0.9826,38.95,404.83,0.9824,41.09
93,403.38,0.9825,41.07,377.8,0.9821,38.33,403.38,0.9825,41.07,377.8,0.9821,38.33,377.8,0.9821,38.33,377.8,0.9821,38.33,377.8,0.9821,38.33,377.8,0.9821,38.33,377.8,0.9821,38.33,403.38,0.9825,41.07
94,402.55,0.9824,41.03,377.73,0.9826,38.42,402.55,0.9824,41.03,377.73,0.9826,38.42,377.73,0.9826,38.42,377.73,0.9826,38.42,377.73,0.9826,38.42,377.73,0.9826,38.42,377.73,0.9826,38.42,402.55,0.9824,41.03
95,401.83,0.9823,40.87,382.9,0.9818,38.81,401.83,0.9823,40.87,382.9,0.9818,38.81,382.9,0.9818,38.81,382.9,0.9818,38.81,382.9,0.9818,38.81,382.9,0.9818,38.81,382.9,0.9818,38.81,401.83,0.9823,40.87
96,399.14,0.9823,40.53,385.81,0.982,39.06,399.14,0.9823,40.53,385.81,0.982,39.06,385.81,0.982,39.06,385.81,0.982,39.06,385.81,0.982,39.06,385.81,0.982,39.06,385.81,0.982,39.06,399.14,0.9823,40.53
